"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"10487-7",HMB-45 Ag [Presence] in Tissue by Immune stain,HMB-45 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"32047-3",Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+68+70 DNA [Presence] in Tissue by DNA probe,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+68+70 DNA,ACnc,Pt,Tiss,Ord,Probe
"21225-8",Cortisol [Mass/volume] in Serum or Plasma --3 hours post XXX challenge,Cortisol^3H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"10747-4",Collagen fibers+Elastic fibers.microscopic observation [Identifier] in Tissue by Lawson-Van Gieson stain,Collagen fibers+Elastic fibers.microscopic observation,Prid,Pt,Tiss,Nom,Lawson-Van Gieson stain
"10760-7",Iron.microscopic observation [Identifier] in Tissue by Gomori stain,Iron.microscopic observation,Prid,Pt,Tiss,Nom,Gomori stain
"10379-6",Erythrocytes.dual population [Presence] in Blood by Light microscopy,Erythrocytes.dual population,ACnc,Pt,Bld,Ord,Microscopy.light
"33737-8",Distance of tumor from closest margin by CAP cancer protocols,Distance of tumor from closest margin,Len,Pt,Specimen,Qn,CAP cancer protocols
"51639-3",Acanthocytes/1000 erythrocytes in Blood by Light microscopy,Acanthocytes/1000 erythrocytes,NFr,Pt,Bld,Qn,Microscopy.light
"23816-2",Other Antibiotic [Mass/volume] in Serum or Plasma,Antibiotic XXX,MCnc,Pt,Ser/Plas,Qn,
"45149-2",Ej Ab [Presence] in Serum,Ej Ab,ACnc,Pt,Ser,Ord,
"11106-2",Eosinophils/100 cells in Bone marrow by Microscopy,Eosinophils/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"11105-4",Basophils/100 cells in Bone marrow by Microscopy,Basophils/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"2498-4",Iron [Mass/volume] in Serum or Plasma,Iron,MCnc,Pt,Ser/Plas,Qn,
"1920-8",Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,
"2157-6",Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,Creatine kinase,CCnc,Pt,Ser/Plas,Qn,
"2823-3",Potassium [Moles/volume] in Serum or Plasma,Potassium,SCnc,Pt,Ser/Plas,Qn,
"2000-8",Calcium [Moles/volume] in Serum or Plasma,Calcium,SCnc,Pt,Ser/Plas,Qn,
"18182-6",Osmolality of Serum or Plasma by calculation,Osmolality,Osmol,Pt,Ser/Plas,Qn,Calculated
"30428-7",Erythrocyte mean corpuscular volume [Entitic volume],Erythrocyte mean corpuscular volume,EntVol,Pt,RBC,Qn,
"1751-7",Albumin [Mass/volume] in Serum or Plasma,Albumin,MCnc,Pt,Ser/Plas,Qn,
"2457-0",IgA [Mass/volume] in Cerebral spinal fluid,IgA,MCnc,Pt,CSF,Qn,
"2472-9",IgM [Mass/volume] in Serum,IgM,MCnc,Pt,Ser,Qn,
"48422-0",Protein fractions.oligoclonal bands [Presence] in Serum or Plasma,Protein fractions.oligoclonal bands,ACnc,Pt,Ser/Plas,Ord,
"53977-5",Dimagnesium phosphate crystals [Presence] in Urine sediment by Light microscopy,Dimagnesium phosphate crystals,ACnc,Pt,Urine sed,Ord,Microscopy.light
"20454-5",Protein [Presence] in Urine by Test strip,Protein,ACnc,Pt,Urine,Ord,Test strip
"26515-7",Platelets [#/volume] in Blood,Platelets,NCnc,Pt,Bld,Qn,
"32349-3",Basophils+Eosinophils+Monocytes [#/volume] in Blood,Basophils+Eosinophils+Monocytes,NCnc,Pt,Bld,Qn,
"30384-2",Erythrocyte distribution width [Entitic volume],Erythrocyte distribution width,EntVol,Pt,RBC,Qn,
"26485-3",Monocytes/100 leukocytes in Blood,Monocytes/100 leukocytes,NFr,Pt,Bld,Qn,
"33990-3",Normoblasts/100 leukocytes [Ratio] in Blood,Normoblasts/100 leukocytes,Ratio,Pt,Bld,Qn,
"3968-5",Phenytoin [Mass/volume] in Serum or Plasma,Phenytoin,MCnc,Pt,Ser/Plas,Qn,
"3053-6",Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,Triiodothyronine,MCnc,Pt,Ser/Plas,Qn,
"19295-5",Opiates [Presence] in Urine by Screen method,Opiates,ACnc,Pt,Urine,Ord,Screen
"19270-8",Barbiturates [Presence] in Urine by Screen method,Barbiturates,ACnc,Pt,Urine,Ord,Screen
"6948-4",Lamotrigine [Mass/volume] in Serum or Plasma,Lamotrigine,MCnc,Pt,Ser/Plas,Qn,
"6896-5",Clozapine [Mass/volume] in Serum or Plasma,Clozapine,MCnc,Pt,Ser/Plas,Qn,
"9788-1",Streptolysin O Ab [Presence] in Serum,Streptolysin O Ab,ACnc,Pt,Ser,Ord,
"53291-1",Epithelial casts [#/area] in Urine by Computer assisted method,Epithelial casts,Naric,Pt,Urine,Qn,Computer assisted
"33224-7",Fine Granular Casts [#/area] in Urine sediment by Microscopy high power field,Granular casts.fine,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"11172-4",Ferret epithelium IgE Ab [Units/volume] in Serum,Ferret epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"7334-6",Gerbil epithelium IgE Ab [Units/volume] in Serum,Gerbil epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"6180-4",Mouse serum proteins IgE Ab [Units/volume] in Serum,Mouse serum proteins Ab.IgE,ACnc,Pt,Ser,Qn,
"6181-2",Mouse urine proteins IgE Ab [Units/volume] in Serum,Mouse urine proteins Ab.IgE,ACnc,Pt,Ser,Qn,
"2191-5",Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,Dehydroepiandrosterone sulfate,MCnc,Pt,Ser/Plas,Qn,
"5117-7",Cryoglobulin [Presence] in Serum,Cryoglobulin,ACnc,Pt,Ser,Ord,
"58947-3",Follitropin [Units/volume] in Serum or Plasma --pre XXX challenge,Follitropin^pre XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"9704-8",Spermatozoa [Morphology] in Semen,Spermatozoa,Morph,Pt,Semen,Nom,
"66494-6",Spermatozoa Acrosome defects/100 spermatozoa in Semen,Spermatozoa.acrosome defects/100 spermatozoa,NFr,Pt,Semen,Qn,
"7591-1",Chili Pepper IgE Ab [Units/volume] in Serum,Capsicum frutescens Ab.IgE,ACnc,Pt,Ser,Qn,
"7552-3",Oregano IgE Ab [Units/volume] in Serum,Origanum vulgare Ab.IgE,ACnc,Pt,Ser,Qn,
"11193-0",Pumpkin Seed IgE Ab [Units/volume] in Serum,Cucurbita pepo seed Ab.IgE,ACnc,Pt,Ser,Qn,
"7623-2",Poppy Seed IgE Ab [Units/volume] in Serum,Papaver somniferum Ab.IgE,ACnc,Pt,Ser,Qn,
"7743-8",Tragacanth IgE Ab [Units/volume] in Serum,Astragalus spp Ab.IgE,ACnc,Pt,Ser,Qn,
"6217-4",Pigeon droppings IgE Ab [Units/volume] in Serum,Pigeon droppings Ab.IgE,ACnc,Pt,Ser,Qn,
"23801-4",Food Allergen Mix 5 (Peanut+Cow milk+Egg white+Cod+Soybean+Wheat) IgE Ab [Presence] in Serum by Multidisk,(Arachis hypogaea+Cow milk+Egg white+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"15248-8",Food Allergen Mix 18 (Peanut+Soybean+Peas) IgE Ab [Presence] in Serum by Multidisk,(Arachis hypogaea+Glycine max+Pisum sativum) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6107-7",Egg yolk IgE Ab [Units/volume] in Serum,Egg yolk Ab.IgE,ACnc,Pt,Ser,Qn,
"7445-0",Lactalbumin alpha IgE Ab [Units/volume] in Serum,Lactalbumin alpha Ab.IgE,ACnc,Pt,Ser,Qn,
"6067-3",Cheese cheddar type IgE Ab [Units/volume] in Serum,Cheese cheddar type Ab.IgE,ACnc,Pt,Ser,Qn,
"26029-9",Lactoferrin bovine IgE Ab [Units/volume] in Serum,Lactoferrin bovine Ab.IgE,ACnc,Pt,Ser,Qn,
"6082-2",Codfish IgE Ab [Units/volume] in Serum,Gadus morhua Ab.IgE,ACnc,Pt,Ser,Qn,
"30989-8",Sardine (Sardinops melanosticta) IgE Ab [Units/volume] in Serum,Sardinops melanostictus Ab.IgE,ACnc,Pt,Ser,Qn,
"24163-8",Food Allergen Mix 73 (Beef+Chicken+Pork) IgE Ab [Presence] in Serum by Multidisk,(Beef+Chicken+Pork) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"10942-1",Cockspur IgE Ab [Units/volume] in Serum,Echinochloa crus-galli Ab.IgE,ACnc,Pt,Ser,Qn,
"7674-5",Rye IgE Ab [Units/volume] in Serum,Secale cereale Ab.IgE,ACnc,Pt,Ser,Qn,
"6276-0",Wheat IgE Ab [Units/volume] in Serum,Triticum aestivum Ab.IgE,ACnc,Pt,Ser,Qn,
"6019-4",Almond IgE Ab [Units/volume] in Serum,Prunus dulcis Ab.IgE,ACnc,Pt,Ser,Qn,
"10954-6",Pine Nut IgE Ab [Units/volume] in Serum,Pinus edulis Ab.IgE,ACnc,Pt,Ser,Qn,
"7613-3",Pistachio IgE Ab [Units/volume] in Serum,Pistacia vera Ab.IgE,ACnc,Pt,Ser,Qn,
"15244-7",Food Allergen Mix 13 (Carrot+White bean+Peas+Potato) IgE Ab [Presence] in Serum by Multidisk,(Daucus carota+Phaseolus vulgaris+Pisum sativum+Solanum tuberosum) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"7296-7",Eggplant IgE Ab [Units/volume] in Serum,Solanum melongena Ab.IgE,ACnc,Pt,Ser,Qn,
"6061-6",Carrot IgE Ab [Units/volume] in Serum,Daucus carota Ab.IgE,ACnc,Pt,Ser,Qn,
"6161-4",Lettuce IgE Ab [Units/volume] in Serum,Lactuca sativa Ab.IgE,ACnc,Pt,Ser,Qn,
"7091-2",Apricot IgE Ab [Units/volume] in Serum,Prunus armeniaca Ab.IgE,ACnc,Pt,Ser,Qn,
"6035-0",Banana IgE Ab [Units/volume] in Serum,Musa spp Ab.IgE,ACnc,Pt,Ser,Qn,
"7151-4",Blackberry IgE Ab [Units/volume] in Serum,Rubus fruticosus Ab.IgE,ACnc,Pt,Ser,Qn,
"7464-1",Lime IgE Ab [Units/volume] in Serum,Citrus aurantifolia Ab.IgE,ACnc,Pt,Ser,Qn,
"6841-1",Grape IgE Ab [Units/volume] in Serum,Vitis vinifera Ab.IgE,ACnc,Pt,Ser,Qn,
"15266-0",Tree Allergen Mix 5 (Grey alder+Hazelnut+White elm+Willow+Cottonwood) IgE Ab [Presence] in Serum by Multidisk,(Alnus incana+Corylus avellana+Ulmus americana+Salix caprea+Populus deltoides) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6137-4",Hazelnut Pollen IgE Ab [Units/volume] in Serum,Corylus avellana pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"7220-7",Horse Chestnut IgE Ab [Units/volume] in Serum,Aesculus hippocastanum Ab.IgE,ACnc,Pt,Ser,Qn,
"6260-4",Sweet gum IgE Ab [Units/volume] in Serum,Liquidambar styraciflua Ab.IgE,ACnc,Pt,Ser,Qn,
"6171-3",Cajeput tree IgE Ab [Units/volume] in Serum,Melaleuca leucadendron Ab.IgE,ACnc,Pt,Ser,Qn,
"7609-1",Pine IgE Ab [Units/volume] in Serum,Pinus radiata Ab.IgE,ACnc,Pt,Ser,Qn,
"6164-8",Virginia Live Oak IgE Ab [Units/volume] in Serum,Quercus virginiana Ab.IgE,ACnc,Pt,Ser,Qn,
"15273-6",Weed Allergen Mix 3 (Mugwort+Goosefoot or Lambs quarters+English plantain+Goldenrod+Nettle) IgE Ab [Presence] in Serum by Multidisk,(Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Solidago virgaurea+Urtica dioica) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"16922-7",Wild rye grass IgE Ab [Units/volume] in Serum,Elymus triticoides Ab.IgE,ACnc,Pt,Ser,Qn,
"6152-3",Johnson grass IgE Ab [Units/volume] in Serum,Sorghum halepense Ab.IgE,ACnc,Pt,Ser,Qn,
"6228-1",Red top grass IgE Ab [Units/volume] in Serum,Agrostis stolonifera Ab.IgE,ACnc,Pt,Ser,Qn,
"6272-9",Velvet grass IgE Ab [Units/volume] in Serum,Holcus lanatus Ab.IgE,ACnc,Pt,Ser,Qn,
"15281-9",Horse Bot Fly IgE Ab [Units/volume] in Serum,Gasterophilus intestinalis Ab.IgE,ACnc,Pt,Ser,Qn,
"6116-8",Ficus sp IgE Ab [Units/volume] in Serum,Ficus sp Ab.IgE,ACnc,Pt,Ser,Qn,
"19746-7",Maleic anhydride IgE Ab [Units/volume] in Serum,Maleic anhydride Ab.IgE,ACnc,Pt,Ser,Qn,
"7601-8",Phthalic anhydride IgE Ab [Units/volume] in Serum,Phthalic anhydride Ab.IgE,ACnc,Pt,Ser,Qn,
"7689-3",Savinase IgE Ab [Units/volume] in Serum,Savinase Ab.IgE,ACnc,Pt,Ser,Qn,
"6020-2",Alternaria alternata IgE Ab [Units/volume] in Serum,Alternaria alternata Ab.IgE,ACnc,Pt,Ser,Qn,
"6066-5",Acremonium sp IgE Ab [Units/volume] in Serum,Acremonium sp Ab.IgE,ACnc,Pt,Ser,Qn,
"6182-0",Mucor racemosus IgE Ab [Units/volume] in Serum,Mucor racemosus Ab.IgE,ACnc,Pt,Ser,Qn,
"3193-0",Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,Coagulation factor V activity actual/Normal,RelTime,Pt,PPP,Qn,Coag
"28660-9",Plasminogen actual/normal in Platelet poor plasma by Chromogenic method,Plasminogen actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo
"7604-2",Common Pigweed IgE Ab [Units/volume] in Serum,Pigweed common Ab.IgE,ACnc,Pt,Ser,Qn,
"6275-2",Western Ragweed IgE Ab [Units/volume] in Serum,Ambrosia psilostachya Ab.IgE,ACnc,Pt,Ser,Qn,
"7726-3",Sunflower Pollen IgE Ab [Units/volume] in Serum,Helianthus annuus pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"7147-2",Sugar Beet IgE Ab [Units/volume] in Serum,Beta vulgaris Ab.IgE,ACnc,Pt,Ser,Qn,
"55231-5",Electrolytes panel in Blood,Electrolytes panel,-,Pt,Bld,Qn,
"16616-5",Cholesterol in HDL/Cholesterol in LDL [Mass ratio] in Serum or Plasma,Cholesterol.in HDL/Cholesterol.in LDL,MCrto,Pt,Ser/Plas,Qn,
"3096-5",Urea nitrogen [Mass/time] in 24 hour Urine,Urea nitrogen,MRat,"24H",Urine,Qn,
"20412-3",Benzodiazepines [Mass/volume] in Urine by Confirmatory method,Benzodiazepines,MCnc,Pt,Urine,Qn,Confirm
"32602-5",HIV 1+2 Ab [Presence] in Cerebral spinal fluid,HIV 1+2 Ab,ACnc,Pt,CSF,Ord,
"55347-9",Ecarin clotting time (ECT) [Time] in Blood by Coagulation assay,Coagulation ecarin induced,Time,Pt,Bld,Qn,Coag
"14182-0",Thrombin antithrombin complex Ag [Mass/volume] in Platelet poor plasma by Immunologic method,Thrombin antithrombin complex Ag,MCnc,Pt,PPP,Qn,Imm
"33551-3",Platelet aggregation ristocetin induced [Mass threshold] in Platelet rich plasma --1200 ug/mL,Platelet aggregation.ristocetin induced^1200 ug/mL,ThrMCnc,Pt,PRP,Qn,
"5996-4",Platelet aggregation epinephrine induced [Substance threshold] in Platelet rich plasma,Platelet aggregation.epinephrine induced,ThrSCnc,Pt,PRP,Qn,
"27816-8",von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunologic method,von Willebrand factor Ag actual/Normal,RelMCnc,Pt,PPP,Qn,Imm
"22244-8",Cytomegalovirus IgG Ab [Presence] in Serum,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser,Ord,
"2284-8",Folate [Mass/volume] in Serum or Plasma,Folate,MCnc,Pt,Ser/Plas,Qn,
"2746-6",pH of Venous blood,pH,LsCnc,Pt,BldV,Qn,
"4667-2",Osmotic fragility of Red Blood Cells,Osmotic fragility,NFr,Pt,RBC,Qn,
"778-1",Platelets [#/volume] in Blood by Manual count,Platelets,NCnc,Pt,Bld,Qn,Manual count
"2367-1",Glutamate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Glutamate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,
"34354-1",Phosphate/Creatinine [Molar ratio] in Urine,Phosphate/Creatinine,SCrto,Pt,Urine,Qn,
"13539-2",Phosphate [Moles/volume] in Urine,Phosphate,SCnc,Pt,Urine,Qn,
"33833-5",Lymphocytes Immunoblastic/100 leukocytes in Blood by Manual count,Lymphocytes.immunoblastic/100 leukocytes,NFr,Pt,Bld,Qn,Manual count
"735-1",Lymphocytes Variant/100 leukocytes in Blood by Manual count,Lymphocytes.variant/100 leukocytes,NFr,Pt,Bld,Qn,Manual count
"801-1",Sickle cells [Presence] in Blood by Light microscopy,Sickle cells,ACnc,Pt,Bld,Ord,Microscopy.light
"32759-3",Myeloperoxidase cells/100 cells in Unspecified specimen,Cells.myeloperoxidase/100 cells,NFr,Pt,XXX,Qn,
"5998-0",Platelet aggregation ristocetin induced [Mass threshold] in Platelet rich plasma,Platelet aggregation.ristocetin induced,ThrMCnc,Pt,PRP,Qn,
"32751-0",HLA-DR+ cells/100 cells in Unspecified specimen,Cells.HLA-DR+/100 cells,NFr,Pt,XXX,Qn,
"32518-3",CD3+CD8+ cells/100 cells in Unspecified specimen,Cells.CD3+CD8+/100 cells,NFr,Pt,XXX,Qn,
"2142-8",Cortisol [Mass/volume] in Saliva,Cortisol,MCnc,Pt,Saliva,Qn,
"30371-9",Promyelocytes/100 leukocytes in Cerebral spinal fluid by Manual count,Promyelocytes/100 leukocytes,NFr,Pt,CSF,Qn,Manual count
"14107-7",Neutrophils.segmented/100 leukocytes in Cerebral spinal fluid by Manual count,Neutrophils.segmented/100 leukocytes,NFr,Pt,CSF,Qn,Manual count
"26486-1",Monocytes/100 leukocytes in Cerebral spinal fluid,Monocytes/100 leukocytes,NFr,Pt,CSF,Qn,
"2570-0",Lipids [Mass/volume] in Stool,Lipids,MCnc,Pt,Stool,Qn,
"14789-2",Helminth identified in Unspecified specimen by Macro/micro identification,Helminth identified,Prid,Pt,XXX,Nom,Macro/Micro ID
"33903-6",Ketones [Presence] in Urine,Ketones,ACnc,Pt,Urine,Ord,
"20612-8",CD7 cells/100 cells in Unspecified specimen,Cells.CD7/100 cells,NFr,Pt,XXX,Qn,
"42932-4",CD40 cells/100 cells in Unspecified specimen,Cells.CD40/100 cells,NFr,Pt,XXX,Qn,
"59069-5",Nuclear Ab [Presence] in Serum by Hep2 substrate,Nuclear Ab,ACnc,Pt,Ser,Ord,Hep2 substrate
"32338-6",Pyruvate [Moles/volume] in Serum or Plasma,Pyruvate,SCnc,Pt,Ser/Plas,Qn,
"2857-1",Prostate specific Ag [Mass/volume] in Serum or Plasma,Prostate specific Ag,MCnc,Pt,Ser/Plas,Qn,
"44793-8",Immunoglobulin light chains panel [Mass/volume] in Serum,Immunoglobulin light chains panel,MCnc,Pt,Ser,Qn,
"20655-7",Proline [Moles/volume] in Serum or Plasma,Proline,SCnc,Pt,Ser/Plas,Qn,
"20660-7",Tyrosine [Moles/volume] in Serum or Plasma,Tyrosine,SCnc,Pt,Ser/Plas,Qn,
"20652-4",Ornithine [Moles/volume] in Serum or Plasma,Ornithine,SCnc,Pt,Ser/Plas,Qn,
"1893-7",Arginine [Mass/volume] in Serum or Plasma,Arginine,MCnc,Pt,Ser/Plas,Qn,
"25138-9",Taurine/Creatinine [Molar ratio] in Urine,Taurine/Creatinine,SCrto,Pt,Urine,Qn,
"25863-2",Asparagine/Creatinine [Molar ratio] in 24 hour Urine,Asparagine/Creatinine,SCrto,"24H",Urine,Qn,
"22685-2",Tyrosine/Creatinine [Molar ratio] in Urine,Tyrosine/Creatinine,SCrto,Pt,Urine,Qn,
"26578-5",Beta alanine/Creatinine [Molar ratio] in Urine,Beta alanine/Creatinine,SCrto,Pt,Urine,Qn,
"8101-8",CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood,Cells.CD3+CD8+/100 cells,NFr,Pt,Bld,Qn,
"14135-8",CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood,Cells.CD3+CD8+,NCnc,Pt,Bld,Qn,
"8117-4",CD19 cells/100 cells in Blood,Cells.CD19/100 cells,NFr,Pt,Bld,Qn,
"26466-3",Leukocytes [#/volume] in Body fluid,Leukocytes,NCnc,Pt,Body fld,Qn,
"29580-8",Differential panel in Body fluid,Differential panel,-,Pt,Body fld,-,
"1974-5",Bilirubin [Mass/volume] in Body fluid,Bilirubin,MCnc,Pt,Body fld,Qn,
"2881-1",Protein [Mass/volume] in Body fluid,Protein,MCnc,Pt,Body fld,Qn,
"2529-6",Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,Lactate dehydrogenase,CCnc,Pt,Body fld,Qn,
"15212-4",Lipase [Enzymatic activity/volume] in Body fluid,Triacylglycerol lipase,CCnc,Pt,Body fld,Qn,
"2685-6",Alpha-1-Acid glycoprotein [Mass/volume] in Serum or Plasma,Alpha-1-Acid glycoprotein,MCnc,Pt,Ser/Plas,Qn,
"48999-7",Urea [Mass/time] in 24 hour Urine,Urea,MRat,"24H",Urine,Qn,
"51141-0",Cytoplasmic CD3 blasts [Units/volume] in Blood,Blasts.cytoplasmic CD3,ACnc,Pt,Bld,Qn,
"11281-3",Auer rods [Presence] in Blood by Light microscopy,Auer rods,ACnc,Pt,Bld,Ord,Microscopy.light
"802-9",Spherocytes [Presence] in Blood by Light microscopy,Spherocytes,ACnc,Pt,Bld,Ord,Microscopy.light
"7790-9",Burr cells [Presence] in Blood by Light microscopy,Burr cells,ACnc,Pt,Bld,Ord,Microscopy.light
"10381-2",Target cells [Presence] in Blood by Light microscopy,Target cells,ACnc,Pt,Bld,Ord,Microscopy.light
"7791-7",Dacrocytes [Presence] in Blood by Light microscopy,Dacryocytes,ACnc,Pt,Bld,Ord,Microscopy.light
"17800-4",Myelocytes/100 leukocytes in Body fluid,Myelocytes/100 leukocytes,NFr,Pt,Body fld,Qn,
"49996-2",Borrelia burgdorferi 83/93kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 83_93kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"49135-7",Fractional excretion of sodium [Ratio] in Urine & Serum or Plasma,Fractional excretion of sodium,Ratio,Pt,Urine+Ser/Plas,Qn,
"33415-1",IgG [Mass/volume] in Urine,IgG,MCnc,Pt,Urine,Qn,
"2641-9",Myoglobin [Mass/volume] in Urine,Myoglobin,MCnc,Pt,Urine,Qn,
"24523-3",Norepinephrine/Creatinine [Molar ratio] in Urine,Norepinephrine/Creatinine,SCrto,Pt,Urine,Qn,
"732-8",Lymphocytes [#/volume] in Blood by Manual count,Lymphocytes,NCnc,Pt,Bld,Qn,Manual count
"54531-9",Active disease diagnosis,Active disease diagnosis,-,Pt,^Patient,-,
"12195-4",Creatinine renal clearance/1.73 sq M in 24 hour,Creatinine renal clearance/1.73 sq M,ArVRat,"24H",Urine+Ser/Plas,Qn,
"40298-2",Somatotropin [Mass/volume] in Serum or Plasma --pre dose clonidine,Somatotropin^pre dose clonidine,MCnc,Pt,Ser/Plas,Qn,
"58948-1",Somatotropin [Mass/volume] in Serum or Plasma --pre XXX challenge,Somatotropin^pre XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"15347-8",Somatotropin [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,Somatotropin^30M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"50206-2",Glucose [Mass/volume] in Serum or Plasma --1st specimen,Glucose^1st specimen,MCnc,Pt,Ser/Plas,Qn,
"50212-0",Glucose [Mass/volume] in Serum or Plasma --2nd specimen,Glucose^2nd specimen,MCnc,Pt,Ser/Plas,Qn,
"33258-5",Thyrotropin [Units/volume] in Serum or Plasma --30 minutes post dose TRH,Thyrotropin^30M post dose TRH,ACnc,Pt,Ser/Plas,Qn,
"41407-8",Cortisol [Mass/volume] in Serum or Plasma --pre dose corticotropin,Cortisol^pre dose corticotropin,MCnc,Pt,Ser/Plas,Qn,
"1400-1",Cortisol [Mass/volume] in Serum or Plasma --1 hour post 1 ug/kg CRH IV,Cortisol^1H post 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"1367-2",Corticotropin [Mass/volume] in Plasma --pre 1 ug/kg CRH IV,Corticotropin^pre 1 ug/kg CRH IV,MCnc,Pt,Plas,Qn,
"47851-1",Cortisol [Mass/volume] in Serum or Plasma --post dose dexamethasone,Cortisol^post dose dexamethasone,MCnc,Pt,Ser/Plas,Qn,
"40304-8",Somatotropin [Mass/volume] in Serum or Plasma --1.5 hours post dose arginine,Somatotropin^1.5H post dose arginine,MCnc,Pt,Ser/Plas,Qn,
"58835-0",Testosterone [Mass/volume] in Serum or Plasma --baseline,Testosterone^baseline,MCnc,Pt,Ser/Plas,Qn,
"11046-0",Epinephrine [Mass/volume] in Urine,Epinephrine,MCnc,Pt,Urine,Qn,
"2779-7",Phosphate [Mass/time] in 24 hour Urine,Phosphate,MRat,"24H",Urine,Qn,
"43116-3",Porphyrins fractionated panel in 24 hour Urine,Porphyrins fractionated panel,-,"24H",Urine,-,
"55401-4",Warfarin tracking panel in Platelet poor plasma,Warfarin tracking panel,-,Pt,PPP,-,
"32327-9",Lutropin [Units/volume] in Serum or Plasma --1 hour post XXX challenge,Lutropin^1H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"56494-8",Lutropin [Units/volume] in Serum or Plasma --2 hours post XXX challenge,Lutropin^2H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"1423-3",Cortisol [Mass/volume] in Serum or Plasma --45 minutes post 1 ug/kg CRH IV,Cortisol^45M post 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"2428-1",Homocysteine [Mass/volume] in Serum or Plasma,Homocysteine,MCnc,Pt,Ser/Plas,Qn,
"32326-1",Lutropin [Units/volume] in Serum or Plasma --30 minutes post XXX challenge,Lutropin^30M post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"13299-3",HLA-B [Type],HLA-B,Type,Pt,Bld,Nom,
"10989-2",Itraconazole [Mass/volume] in Serum or Plasma,Itraconazole,MCnc,Pt,Ser/Plas,Qn,
"45051-0",Cortisol [Moles/volume] in Serum or Plasma --8 PM specimen,Cortisol^8 PM specimen,SCnc,Pt,Ser/Plas,Qn,
"42886-2",CD52 cells/100 cells in Bone marrow,Cells.CD52/100 cells,NFr,Pt,Bone mar,Qn,
"16670-2",Cortisol [Mass/volume] in Serum or Plasma --15 minutes post XXX challenge,Cortisol^15M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"7419-5",Horse epithelium IgE Ab [Units/volume] in Serum,Horse epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"51499-2",Estradiol [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge,Estradiol^1st specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"51501-5",Estradiol [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,Estradiol^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"8061-4",Nuclear Ab [Presence] in Serum,Nuclear Ab,ACnc,Pt,Ser,Ord,
"69029-7",Lymphocyte proliferation.tetanus toxoid.maximum/CD3 in Blood by Flow cytometry (FC),Lymphocyte proliferation.tetanus toxoid.maximum/CD3,NFr,Pt,Bld,Qn,Flow cytometry
